order_id,order_date,customer_id,customer_name,origin_channel,country_region,city,state,postal_code,region,category,sub_category,product_id,sales,quantity,discount,profit
CA-2019-121755,2019-01-16,EH-13945,Eric Hoffmann,Email,United States,Los Angeles,California,90049.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003027,90.57,3,0.0,11.7741
CA-2019-118255,2019-03-11,ON-18715,Odella Nelson,Sales,United States,Eagan,Minnesota,55122.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000171,45.98,2,0.0,19.7714
CA-2019-169194,2019-06-20,LH-16900,Lena Hernandez,Email,United States,Dover,Delaware,19901.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,45.0,3,0.0,4.95
CA-2019-111682,2019-06-17,TB-21055,Ted Butterfield,Email,United States,Troy,New York,12180.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,30.0,2,0.0,3.3
CA-2018-135545,2018-11-24,KM-16720,Kunst Miller,Email,United States,Los Angeles,California,90004.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004633,13.98,2,0.0,6.1512
CA-2020-155558,2020-10-26,PG-18895,Paul Gonzalez,Email,United States,Rochester,Minnesota,55901.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001998,19.99,1,0.0,6.7966
CA-2019-158568,2019-08-29,RB-19465,Rick Bensley,Facebook,United States,Chicago,Illinois,60610.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001767,95.976,3,0.2,-10.7973
US-2018-156867,2018-11-13,LC-16870,Lena Cacioppo,Email,United States,Aurora,Colorado,80013.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001552,238.896,6,0.2,-26.8758
CA-2020-119004,2020-11-23,JM-15250,Janet Martin,Email,United States,Charlotte,North Carolina,28205.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003499,74.112,8,0.2,17.6016
CA-2018-129476,2018-10-15,PA-19060,Pete Armstrong,Facebook,United States,Orland Park,Illinois,60462.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000844,339.96,5,0.2,67.992
CA-2018-119697,2018-12-28,EM-13960,Eric Murdock,Email,United States,Philadelphia,Pennsylvania,19134.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003657,54.384,2,0.2,1.3596
